"@timestamp",service,message,level,logger,traceId
"Aug 8, 2026 @ 22:43:03.547","bff-service","method=GET uri=/actuator/health/liveness status=200 durationMs=14",INFO,"bff.config.AccessLogFilter","815ed2aa-eec2-49aa-bc98-79cf574a2a9f"
"Aug 8, 2026 @ 22:42:57.345","bff-service","method=GET uri=/actuator/prometheus status=200 durationMs=86",INFO,"bff.config.AccessLogFilter","f1de142f-d764-4185-a234-77182c1b9ec8"
"Aug 8, 2026 @ 22:42:56.991",unknown,"10.244.0.1 - - [08/Aug/2026:13:42:56 +0000] ""GET / HTTP/1.1"" 200 460 ""-"" ""kube-probe/1.35"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:42:56.460",unknown,"10.244.0.1 - - [08/Aug/2026:13:42:56 +0000] ""GET / HTTP/1.1"" 200 460 ""-"" ""kube-probe/1.35"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:42:53.726","bff-service","method=GET uri=/actuator/health/readiness status=200 durationMs=13",INFO,"bff.config.AccessLogFilter","f3032568-6e59-4cac-a129-f48b37907c5b"
"Aug 8, 2026 @ 22:42:53.548","bff-service","method=GET uri=/actuator/health/liveness status=200 durationMs=14",INFO,"bff.config.AccessLogFilter","79dcd810-cb7b-45d9-ab20-182db5dbd84f"
"Aug 8, 2026 @ 22:42:48.801",unknown,"10.244.0.1 - - [08/Aug/2026:13:42:48 +0000] ""POST /api/notifications/list HTTP/1.1"" 200 12 ""http://192.168.160.100:30000/stores/1"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:42:48.799","bff-service","method=POST uri=/api/notifications/list status=200 durationMs=657",INFO,"bff.config.AccessLogFilter","b9c6b555-9bb8-4a5d-b6b2-aba0ee039a9b"
"Aug 8, 2026 @ 22:42:48.794","bff-service","[CB] listMyNotifications fallback: {} I/O error on POST request for ""http://notification-service/api/notifications/list"": null",WARN,"bff.client.NotificationClient","b9c6b555-9bb8-4a5d-b6b2-aba0ee039a9b"
"Aug 8, 2026 @ 22:42:46.990",unknown,"10.244.0.1 - - [08/Aug/2026:13:42:46 +0000] ""GET / HTTP/1.1"" 200 460 ""-"" ""kube-probe/1.35"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:42:46.461",unknown,"10.244.0.1 - - [08/Aug/2026:13:42:46 +0000] ""GET / HTTP/1.1"" 200 460 ""-"" ""kube-probe/1.35"" ""-""","-","-","-"
"Aug 8, 2026 @ 22:42:43.721","bff-service","method=GET uri=/actuator/health/readiness status=200 durationMs=10",INFO,"bff.config.AccessLogFilter","79e8fb6a-8497-45a1-975f-d99f3b5c5724"
"Aug 8, 2026 @ 22:42:43.600","bff-service","method=GET uri=/actuator/health/liveness status=200 durationMs=66",INFO,"bff.config.AccessLogFilter","58e08211-f477-47dc-8f88-669703cf3cb2"
